Gene	PMCC	TS500	MSKCC_IMPACT.curated	MSKCC_HEME	FoundationOne	FoundationHeme	TEMPUS	CancerGeneCensus_Tier1	OncoKB-Annotated	CancerGeneCensus_Tier2	az300	familial_cancer	TSGene2-tumour-suppressors	TSGene2-oncogenes
A1CF	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABI1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ABI2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABL1	1	1	1	1	1	1	1	0	1	1	1	0	0	1
ABL2	1	1	0	0	1	1	1	0	0	1	0	0	0	0
ABRAXAS1	0	1	1	0	0	0	1	0	1	0	1	1	0	0
ACHE	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACKR3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACSL3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACSL6	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ACTA2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACTB	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTG1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ACVR1	0	1	1	0	0	0	0	0	1	1	0	0	0	0
ACVR1B	1	1	0	0	1	0	1	0	0	0	1	0	0	0
ACVR1C	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACVR2A	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ACVRL1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACY1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADA	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS18	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTS8	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTS9	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADARB1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRA2	1	1	0	0	1	1	0	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AFAP1L2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AFDN	0	0	0	0	0	1	0	0	0	0	0	0	0	1
AFF1	0	0	0	0	0	1	0	0	0	1	0	0	0	1
AFF3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AFF4	0	0	0	0	0	1	0	0	0	1	0	0	0	1
AGO2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AGR2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AGTR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AGTR2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AHCYL1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AHNAK	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AHR	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AHRR	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AIF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AIM2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AIMP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AIMP2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AIP	0	0	0	0	0	0	0	0	0	0	0	1	1	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AJUBA	0	0	0	0	0	0	1	0	0	0	1	0	0	0
AKAP12	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AKAP13	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AKAP9	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AKIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AKR1B1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AKR1C4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	1	1	1	1	1	1	1	0	1	1	1	1	0	1
AKT1S1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AKT2	1	1	1	1	1	1	1	0	1	1	1	0	0	1
AKT3	1	1	1	1	1	1	1	1	1	0	1	0	0	0
ALDH1A2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALDH2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ALK	1	1	1	1	1	1	1	0	1	1	1	1	0	1
ALOX12B	0	1	1	1	0	0	0	0	1	0	0	0	0	0
ALOX15	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALOX15B	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALPL	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AMER1	1	1	1	1	1	1	1	0	1	1	1	0	1	0
AMH	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANAPC1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANGPTL4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANK1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ANKRD11	0	1	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD26	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ANP32A	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANXA1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANXA7	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APAF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APC	1	1	1	1	1	1	1	0	1	1	1	1	1	0
APH1A	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APOB	0	0	0	0	0	0	1	0	0	0	0	0	0	0
APOBEC3B	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AR	1	1	1	1	1	1	1	0	1	1	1	0	0	1
ARAF	1	1	1	1	1	1	1	1	1	0	1	0	0	1
AREG	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARFRP1	1	1	0	0	1	1	0	0	0	0	0	0	0	0
ARG1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARHGAP26	0	0	0	0	0	1	1	0	0	1	0	0	0	1
ARHGAP29	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARHGAP35	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ARHGAP5	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ARHGEF10	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ARHGEF10L	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ARHGEF12	0	0	0	0	0	1	0	0	0	1	0	0	1	1
ARHGEF28	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ARHGEF5	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARID1A	1	1	1	1	1	1	1	0	1	1	1	0	1	0
ARID1B	1	1	1	1	1	0	1	0	1	1	1	0	0	0
ARID2	1	1	1	1	1	1	1	0	1	1	1	0	1	0
ARID3A	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ARID3B	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ARID3C	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ARID4A	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ARID4B	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ARID5A	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ARID5B	0	1	1	1	0	0	1	0	1	0	1	0	0	0
ARL11	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARL6IP5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARMC10	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARMC5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARNT	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ARNTL	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASCL1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASMTL	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASNS	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASPSCR1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ASS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASXL1	1	1	1	1	1	1	1	0	1	1	1	0	1	0
ASXL2	0	1	1	1	0	0	0	1	1	0	0	0	0	0
ATF1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ATF3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ATG5	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATIC	0	0	0	0	0	1	1	0	0	1	0	0	0	0
ATM	1	1	1	1	1	1	1	0	1	1	1	1	1	0
ATMIN	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ATP1A1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ATP2B3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ATP6AP1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ATP6V1B2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ATP7B	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATR	1	1	1	1	1	1	1	0	1	1	1	1	1	0
ATRX	1	1	1	1	1	1	1	0	1	1	1	0	0	0
ATXN2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
AURKA	1	1	1	1	1	1	1	0	1	0	0	0	0	1
AURKB	1	1	1	1	1	1	1	0	1	0	0	0	0	0
AXIN1	1	1	1	1	1	1	1	0	1	1	0	1	1	0
AXIN2	0	1	1	0	0	0	1	0	1	1	1	1	1	0
AXL	1	1	1	1	1	1	1	0	1	0	0	0	0	1
AZGP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B2M	0	1	1	1	0	1	1	0	1	1	0	0	0	0
B4GALNT1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
B4GALT3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
BABAM1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BACH2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BANP	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BAP1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
BARD1	1	1	1	1	1	1	1	0	1	1	0	1	1	0
BASP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BAT25	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAT26	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAT34C4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BATF2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BAX	0	0	0	0	0	0	0	0	0	1	0	0	1	0
BAZ1A	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BBC3	0	1	1	0	0	0	0	0	1	0	0	0	1	0
BCAS3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BCAS4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BCL10	0	1	1	1	0	1	1	0	1	1	0	0	1	0
BCL11A	0	0	0	0	0	1	0	0	0	1	0	0	0	0
BCL11B	0	0	0	1	0	1	1	0	1	1	0	0	0	0
BCL2	1	1	1	1	1	1	1	0	1	1	0	0	0	1
BCL2L1	1	1	1	0	1	0	1	0	1	0	1	0	0	0
BCL2L11	0	1	1	0	0	0	1	0	1	0	0	0	1	0
BCL2L12	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BCL2L2	1	1	0	0	1	1	0	0	0	0	0	0	0	0
BCL3	0	0	0	0	0	1	0	0	0	1	0	0	0	1
BCL6	1	1	1	1	0	1	1	0	1	1	0	0	0	1
BCL6B	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BCL7A	0	0	0	0	0	1	1	0	0	1	0	0	0	0
BCL9	0	0	0	0	0	1	0	0	0	1	1	0	0	1
BCL9L	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BCLAF1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
BCOR	1	1	1	1	1	1	1	0	1	1	0	0	0	0
BCORL1	1	1	0	1	1	1	1	0	1	1	0	0	1	0
BCR	0	1	0	1	1	1	1	0	1	1	0	0	1	1
BDNF	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BECN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BEX2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BHLHE41	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BICRA	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BIK	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BIN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BIRC3	0	1	1	1	0	1	1	0	1	1	0	0	0	0
BIRC5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BLCAP	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BLID	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BLM	1	1	1	1	1	1	1	0	1	1	0	1	1	0
BLNK	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BMF	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BMI1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BMP10	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BMP2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BMP4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BMP5	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BMPR1A	0	1	1	0	0	0	1	0	1	1	0	1	1	0
BMPR2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BNIP3L	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BRAF	1	1	1	1	1	1	1	0	1	1	1	0	0	1
BRCA1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
BRCA2	1	1	1	1	1	1	1	0	1	1	1	1	1	0
BRCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BRD2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
BRD3	0	0	0	0	0	0	0	0	0	1	1	0	0	0
BRD4	1	1	1	1	1	1	1	0	1	1	1	0	0	0
BRD7	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BRD9	0	0	0	0	0	0	0	0	0	0	1	0	0	0
BRF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BRI3BP	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BRINP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BRIP1	1	1	1	1	1	1	1	0	1	1	1	1	0	0
BRMS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
